amt_price,heatedarea,hometype,fullbaths,halfbaths,District
1650000,3935,Detached single-family,3,1,6
930000,2860,Detached single-family,2,1,6
1950000,2940,Detached single-family,3,1,6
2655000,3788,Detached single-family,3,1,6
1052500,2850,Detached single-family,2,1,6
1600000,3640,Detached single-family,2,1,6
2000000,4282,Detached single-family,3,1,6
3625000,7030,Detached single-family,6,2,6
3250000,5973,Detached single-family,6,1,6
2750000,6641,Detached single-family,5,3,6
266000,1024,Detached single-family,2,0,1
402500,1068,Detached single-family,2,0,1
760000,2557,Detached single-family,3,0,1
75000,750,Detached single-family,1,0,1
70000,645,Detached single-family,1,0,1
315000,1456,Detached single-family,2,1,1
360000,925,Detached single-family,2,0,1
332500,1025,Detached single-family,1,0,1
247500,1163,Detached single-family,1,0,1
267000,1024,Detached single-family,1,1,1
325000,1680,Detached single-family,2,1,1
1350000,3128,Detached single-family,3,1,6
1280000,3199,Detached single-family,2,1,6
445000,1792,Attached single-family,2,2,6
465000,1577,Attached single-family,3,1,6
413500,1792,Attached single-family,2,2,6
445000,1792,Attached single-family,2,2,6
427500,1792,Attached single-family,2,2,6
434500,1792,Attached single-family,2,2,6
440000,1792,Attached single-family,2,2,6
422000,1776,Attached single-family,2,2,6
449000,1792,Attached single-family,2,2,6
450000,1600,Attached single-family,3,1,6
408500,1600,Attached single-family,2,1,6
392000,1404,Attached single-family,2,1,6
387500,1376,Attached single-family,2,1,6
403000,1624,Attached single-family,3,1,6
428000,1376,Attached single-family,2,1,6
447500,1680,Attached single-family,3,1,6
432000,1680,Attached single-family,3,1,6
436000,1712,Attached single-family,3,1,6
441000,1680,Attached single-family,3,1,6
424000,1680,Attached single-family,3,1,6
457500,1712,Attached single-family,3,1,6
448000,1680,Attached single-family,3,1,6
442500,1720,Attached single-family,3,1,6
438000,1720,Attached single-family,3,1,6
419000,1688,Attached single-family,3,1,6
436500,1720,Attached single-family,3,1,6
426500,1712,Attached single-family,3,1,6
439000,1680,Attached single-family,3,1,6
438500,1680,Attached single-family,3,1,6
413000,1712,Attached single-family,3,1,6
575000,2080,Attached single-family,2,2,6
521500,2175,Attached single-family,3,1,6
533500,2247,Attached single-family,3,1,6
515500,2247,Attached single-family,3,1,6
533000,2175,Attached single-family,3,1,6
518500,2226,Attached single-family,3,1,6
625000,2140,Attached single-family,3,1,6
558000,2175,Attached single-family,3,1,6
800000,2532,Detached single-family,2,0,6
740000,2101,Detached single-family,3,0,6
405000,4280,Detached single-family,5,0,6
1200000,3300,Detached single-family,4,0,6
790000,1858,Detached single-family,2,0,6
1325000,3531,Detached single-family,4,0,6
1735000,3908,Detached single-family,5,0,6
1210000,2963,Detached single-family,3,0,6
937000,2236,Detached single-family,2,0,6
525000,1935,Detached single-family,2,0,6
900000,2606,Detached single-family,3,0,6
450000,1102,Detached single-family,1,0,6
565000,1741,Detached single-family,2,0,6
517000,1656,Detached single-family,2,0,6
1250000,3196,Detached single-family,3,1,6
600000,1892,Detached single-family,2,1,6
610000,1928,Detached single-family,2,1,5
789000,2189,Detached single-family,3,1,5
405000,1117,Detached single-family,1,0,5
532000,1520,Detached single-family,2,0,5
440000,1130,Detached single-family,1,0,5
950000,2444,Detached single-family,2,0,5
880000,2024,Detached single-family,2,0,6
2920000,5705,Detached single-family,5,0,6
489000,1444,Detached single-family,1,1,6
677000,1701,Detached single-family,2,0,6
1950000,4237,Detached single-family,4,1,6
2047500,4566,Detached single-family,4,1,6
1151000,2629,Detached single-family,3,0,6
1170000,2461,Detached single-family,2,1,6
1200000,3143,Detached single-family,3,1,5
1137500,3157,Detached single-family,3,1,5
1430000,3764,Detached single-family,4,0,6
530000,2168,Detached single-family,2,1,6
940000,3423,Detached single-family,3,1,6
995000,4369,Detached single-family,5,0,6
1460000,3210,Detached single-family,3,1,6
1250000,3301,Detached single-family,4,0,6
1800000,4170,Detached single-family,4,0,6
2211500,4380,Detached single-family,3,1,6
2125000,4357,Detached single-family,4,1,6
375000,1162,Detached single-family,1,0,5
450000,1204,Detached single-family,2,0,5
450000,1530,Detached single-family,1,0,5
600000,1761,Detached single-family,2,1,5
775000,2413,Detached single-family,3,1,5
380000,1246,Detached single-family,1,1,5
